date,floor_price,opening_price,ceiling_price,volume,amount,closing_price
2000-02-07,21.1,21.49,21.85,14038.0,30138880.0,21.65
2000-02-07,21.4,21.65,23.36,46352.0,103815873.0,22.5
2000-02-08,22.45,22.54,23.18,34376.01,78333680.0,22.68
2000-02-08,22.31,22.8,22.9,16448.0,37040064.0,22.36
2000-02-08,21.75,22.36,22.36,14241.0,31363124.0,21.89
2000-02-08,21.6,21.9,22.13,10687.0,23276157.0,21.7
2000-02-08,21.88,21.89,22.7,13054.0,29075467.0,22.35
2000-02-08,22.21,22.5,22.6,11480.0,25708296.0,22.55
2000-02-08,22.1,22.6,22.65,9463.0,21078491.0,22.15
2000-02-08,22.2,22.4,22.8,22555.0,50950477.0,22.64
2000-02-08,22.65,22.7,23.25,45902.0,105493043.0,22.85
2000-02-09,22.8,22.9,23.3,35600.0,82060754.0,22.84
2000-02-09,18.65,18.9,19.25,26089.0,49470588.0,18.68
2000-02-09,18.66,18.68,18.98,16040.0,30166572.0,18.78
2000-02-09,18.8,18.88,18.99,15081.0,28512304.0,18.84
2000-02-09,18.7,18.84,18.98,13907.0,26206388.0,18.9
2000-02-09,18.9,18.9,19.48,28616.0,55127564.0,19.25
2000-02-10,19.02,19.25,19.4,16670.0,32010076.0,19.08
2000-02-10,18.95,19.12,19.2,17089.0,32536692.0,19.02
2000-02-10,18.8,19.06,19.08,15386.0,29074854.0,18.99
2000-02-10,18.85,18.97,19.3,17872.0,34085425.0,19.0
2000-02-10,18.52,19.0,19.0,16128.0,30156092.0,18.55
2000-02-11,18.4,18.52,18.75,11560.0,21396988.0,18.52
2000-02-13,18.45,18.52,18.65,11212.0,20744584.0,18.45
2000-02-13,18.3,18.48,18.5,10867.0,19943101.0,18.33
2000-02-13,18.32,18.35,18.6,7594.4,14054602.0,18.54
2000-02-13,18.35,18.55,18.58,12479.84,22948291.0,18.48
2000-02-13,18.33,18.5,18.8,14922.0,27768164.0,18.78
2000-02-13,18.62,18.79,19.03,15842.0,29869860.0,18.91
2000-02-14,18.8,19.0,19.18,26640.0,50679856.0,19.1
2000-02-14,18.85,19.18,19.21,13225.19,25164606.0,18.9
2000-02-14,18.5,18.9,18.95,15651.5,29216426.0,18.56
2000-02-14,18.52,18.52,19.1,10383.0,19579214.0,18.85
2000-02-15,18.65,18.98,19.0,10592.0,19870682.0,18.7
2000-02-15,18.58,18.7,18.8,8900.0,16607461.0,18.61
2000-02-15,18.5,18.6,18.7,8941.0,16605624.0,18.58
2000-02-15,18.61,18.61,19.04,17164.78,32499144.0,18.89
2000-02-15,18.7,18.91,19.0,9528.84,17915990.0,18.71
2000-02-15,18.55,18.8,18.8,13374.0,24947006.0,18.63
2000-02-17,18.68,18.68,19.18,22807.0,43306480.0,18.97
2000-02-17,18.78,19.0,19.02,11776.0,22218144.0,18.84
2000-02-17,18.6,18.84,19.0,10711.0,20105760.0,18.88
2000-02-17,18.78,18.89,19.0,8860.95,16713427.0,18.79
2000-02-17,18.49,18.8,18.82,18507.0,34407836.0,18.58
2000-02-18,18.55,18.6,18.75,10613.0,19809980.0,18.66
2000-02-18,18.5,18.7,18.75,12887.0,24027894.0,18.66
2000-02-18,18.55,18.55,18.74,11117.23,20693200.0,18.64
2000-02-18,18.64,18.65,19.18,33684.0,64132228.0,19.15
2000-02-18,19.0,19.2,19.28,24237.0,46413087.0,19.22
2000-02-18,19.25,19.25,19.85,52078.0,102072656.0,19.46
2000-02-19,19.3,19.55,19.75,17818.0,34728129.0,19.34
2000-02-19,13.7,13.7,14.02,18118.68,25132120.0,13.91
2000-02-19,13.67,13.98,14.01,10002.09,13788592.0,13.68
2000-02-19,13.69,13.95,13.95,7638.62,10526093.0,13.69
2000-02-20,13.2,13.68,13.7,18875.73,25247472.0,13.3
2000-02-21,13.29,13.3,13.48,8114.29,10826655.0,13.36
2000-02-23,13.1,13.45,13.49,18656.89,24729860.0,13.19
2000-02-23,12.8,13.15,13.15,26822.3,34511872.0,12.9
2000-02-23,12.7,12.83,12.92,17031.76,21768422.0,12.78
